InvoiceNo,CustomerID,InvoiceDate,Quantity,UnitPrice,TotalPurchaseValue,ProductCategory,Country
INV000451,CUST0014,2023-01-05 21:12:00,1,56.79,56.79,Beauty,United Kingdom
INV002216,CUST0145,2023-01-06 02:12:00,4,56.48,225.92,Home & Kitchen,United Kingdom
INV000736,CUST0187,2023-01-06 05:40:00,7,121.72,852.04,Clothing,United Kingdom
INV001397,CUST0011,2023-01-07 02:50:00,1,54.91,54.91,Electronics,United Kingdom
INV000085,CUST0235,2023-01-07 03:36:00,1,27.9,27.9,Electronics,United Kingdom
INV000756,CUST0229,2023-01-07 08:18:00,3,129.36,388.08,Sports,Netherlands
INV001516,CUST0223,2023-01-07 18:57:00,1,43.02,43.02,Sports,United Kingdom
INV002087,CUST0127,2023-01-07 21:43:00,8,142.65,1141.2,Clothing,Netherlands
INV000233,CUST0044,2023-01-08 07:25:00,13,189.26,2460.38,Electronics,France
INV002658,CUST0049,2023-01-09 07:13:00,3,38.02,114.06,Beauty,United Kingdom
INV001525,CUST0017,2023-01-09 09:33:00,2,96.09,192.18,Beauty,Germany
INV001812,CUST0088,2023-01-09 10:05:00,2,79.31,158.62,Beauty,United Kingdom
INV001331,CUST0235,2023-01-09 19:20:00,1,38.36,38.36,Electronics,United Kingdom
INV000803,CUST0121,2023-01-09 20:12:00,3,107.27,321.81,Clothing,Germany
INV001259,CUST0165,2023-01-10 13:41:00,1,28.06,28.06,Electronics,France
INV002292,CUST0069,2023-01-10 14:36:00,1,80.2,80.2,Clothing,Germany
INV001740,CUST0093,2023-01-10 17:34:00,4,160.94,643.76,Electronics,Germany
INV002499,CUST0196,2023-01-10 18:18:00,4,71.15,284.6,Electronics,Germany
INV001253,CUST0120,2023-01-10 22:57:00,6,86.93,521.58,Home & Kitchen,United Kingdom
INV001607,CUST0153,2023-01-10 23:58:00,1,29.92,29.92,Electronics,France
INV001004,CUST0196,2023-01-11 05:11:00,3,55.87,167.61,Electronics,France
INV000456,CUST0054,2023-01-11 11:25:00,4,103.2,412.8,Beauty,United Kingdom
INV002856,CUST0191,2023-01-11 11:39:00,1,54.8,54.8,Electronics,United Kingdom
INV002458,CUST0012,2023-01-11 19:53:00,7,147.27,1030.89,Electronics,Germany
INV000899,CUST0203,2023-01-11 20:07:00,1,41.27,41.27,Electronics,United Kingdom
INV002498,CUST0125,2023-01-12 01:49:00,3,51.16,153.48,Home & Kitchen,United Kingdom
INV001375,CUST0173,2023-01-12 02:29:00,2,68.55,137.1,Clothing,United Kingdom
INV002824,CUST0238,2023-01-12 19:12:00,1,42.66,42.66,Beauty,Spain
INV001067,CUST0236,2023-01-13 02:25:00,2,154.03,308.06,Clothing,Netherlands
INV000121,CUST0090,2023-01-13 04:32:00,1,80.97,80.97,Beauty,France
INV002920,CUST0014,2023-01-13 04:43:00,2,37.21,74.42,Sports,Germany
INV002094,CUST0246,2023-01-13 05:57:00,10,316.97,3169.7,Beauty,United Kingdom
INV000017,CUST0024,2023-01-13 08:51:00,3,59.19,177.57,Beauty,Netherlands
INV002008,CUST0088,2023-01-13 08:58:00,2,70.8,141.6,Home & Kitchen,Germany
INV001274,CUST0112,2023-01-13 15:43:00,2,49.11,98.22,Sports,Spain
INV000251,CUST0162,2023-01-13 17:28:00,2,110.72,221.44,Sports,Germany
INV000710,CUST0063,2023-01-13 18:51:00,3,148.86,446.58,Clothing,United Kingdom
INV002180,CUST0018,2023-01-13 20:36:00,2,69.95,139.9,Clothing,United Kingdom
INV000938,CUST0165,2023-01-13 20:46:00,1,63.87,63.87,Clothing,United Kingdom
INV000948,CUST0042,2023-01-14 04:40:00,4,71.58,286.32,Home & Kitchen,France
INV002689,CUST0116,2023-01-14 11:00:00,8,107.97,863.76,Electronics,France
INV001346,CUST0042,2023-01-14 18:06:00,1,109.15,109.15,Home & Kitchen,Spain
INV001546,CUST0004,2023-01-15 03:35:00,5,54.92,274.6,Sports,United Kingdom
INV000375,CUST0083,2023-01-15 03:39:00,2,96.03,192.06,Beauty,France
INV000352,CUST0146,2023-01-15 06:37:00,3,39.2,117.6,Clothing,United Kingdom
INV000718,CUST0113,2023-01-15 09:40:00,7,135.89,951.23,Home & Kitchen,Germany
INV002003,CUST0169,2023-01-15 15:10:00,1,25.98,25.98,Home & Kitchen,United Kingdom
INV000047,CUST0250,2023-01-16 00:44:00,5,120.87,604.35,Electronics,United Kingdom
INV001085,CUST0206,2023-01-16 00:47:00,2,47.6,95.2,Beauty,Germany
INV000645,CUST0194,2023-01-16 06:12:00,3,83.27,249.81,Beauty,United Kingdom
INV002021,CUST0161,2023-01-16 07:07:00,2,55.18,110.36,Clothing,United Kingdom
INV000351,CUST0075,2023-01-16 12:02:00,3,121.74,365.22,Beauty,United Kingdom
INV001319,CUST0115,2023-01-16 14:39:00,3,83.26,249.78,Sports,Spain
INV002208,CUST0014,2023-01-17 04:20:00,1,34.12,34.12,Electronics,United Kingdom
INV002796,CUST0007,2023-01-17 16:32:00,1,28.78,28.78,Sports,Germany
INV002415,CUST0199,2023-01-17 17:30:00,5,144.54,722.7,Clothing,United Kingdom
INV000581,CUST0162,2023-01-17 18:26:00,4,67.87,271.48,Beauty,United Kingdom
INV001729,CUST0176,2023-01-17 19:03:00,2,51.54,103.08,Beauty,United Kingdom
INV002127,CUST0156,2023-01-18 00:32:00,1,50.33,50.33,Home & Kitchen,Germany
INV000866,CUST0047,2023-01-18 04:12:00,4,43.85,175.4,Home & Kitchen,Spain
INV001324,CUST0194,2023-01-18 07:41:00,3,97.55,292.65,Electronics,Germany
INV001544,CUST0120,2023-01-18 09:09:00,4,66.81,267.24,Clothing,United Kingdom
INV000432,CUST0160,2023-01-18 11:51:00,8,97.19,777.52,Beauty,Spain
INV000203,CUST0004,2023-01-19 02:09:00,3,36.69,110.07,Sports,United Kingdom
INV002554,CUST0118,2023-01-19 04:52:00,1,65.94,65.94,Clothing,France
INV002141,CUST0213,2023-01-19 07:05:00,4,77.52,310.08,Clothing,Spain
INV000945,CUST0132,2023-01-19 14:07:00,1,59.43,59.43,Clothing,United Kingdom
INV000483,CUST0220,2023-01-19 16:04:00,5,189.42,947.1,Home & Kitchen,France
INV001741,CUST0115,2023-01-19 22:59:00,1,52.23,52.23,Clothing,United Kingdom
INV000997,CUST0038,2023-01-20 02:36:00,1,53.0,53.0,Sports,United Kingdom
INV002331,CUST0242,2023-01-20 16:53:00,4,201.44,805.76,Home & Kitchen,United Kingdom
INV000021,CUST0086,2023-01-20 16:54:00,1,61.73,61.73,Clothing,United Kingdom
INV000442,CUST0164,2023-01-20 23:22:00,2,53.73,107.46,Electronics,Spain
INV001448,CUST0172,2023-01-21 06:23:00,1,38.76,38.76,Home & Kitchen,United Kingdom
INV002712,CUST0140,2023-01-21 08:23:00,7,126.48,885.36,Sports,United Kingdom
INV002858,CUST0160,2023-01-21 15:32:00,4,101.86,407.44,Home & Kitchen,United Kingdom
INV000584,CUST0003,2023-01-21 17:42:00,4,137.86,551.44,Home & Kitchen,United Kingdom
INV000778,CUST0111,2023-01-21 18:24:00,3,97.77,293.31,Clothing,United Kingdom
INV000658,CUST0095,2023-01-22 08:23:00,1,141.1,141.1,Sports,United Kingdom
INV002283,CUST0026,2023-01-22 09:25:00,5,109.82,549.1,Clothing,United Kingdom
INV000161,CUST0086,2023-01-22 20:53:00,1,41.09,41.09,Home & Kitchen,United Kingdom
INV002528,CUST0141,2023-01-22 23:30:00,10,175.58,1755.8,Home & Kitchen,United Kingdom
INV002945,CUST0237,2023-01-23 09:57:00,1,60.95,60.95,Electronics,United Kingdom
INV001474,CUST0081,2023-01-23 15:16:00,5,146.96,734.8,Home & Kitchen,United Kingdom
INV001146,CUST0161,2023-01-23 19:29:00,1,65.9,65.9,Clothing,United Kingdom
INV001120,CUST0063,2023-01-24 14:30:00,4,96.97,387.88,Electronics,United Kingdom
INV000906,CUST0095,2023-01-24 14:35:00,4,137.31,549.24,Clothing,United Kingdom
INV001765,CUST0045,2023-01-24 16:10:00,1,93.1,93.1,Electronics,United Kingdom
INV002006,CUST0214,2023-01-25 01:11:00,1,53.35,53.35,Clothing,United Kingdom
INV002359,CUST0076,2023-01-25 02:44:00,2,145.92,291.84,Electronics,United Kingdom
INV001332,CUST0238,2023-01-25 08:38:00,2,36.53,73.06,Home & Kitchen,France
INV000965,CUST0153,2023-01-25 15:56:00,3,46.62,139.86,Clothing,United Kingdom
INV002439,CUST0200,2023-01-25 21:45:00,3,144.08,432.24,Clothing,United Kingdom
INV000981,CUST0135,2023-01-26 20:29:00,9,200.32,1802.88,Electronics,United Kingdom
INV002980,CUST0113,2023-01-27 00:48:00,6,116.35,698.1,Home & Kitchen,United Kingdom
INV002514,CUST0146,2023-01-27 09:04:00,1,22.69,22.69,Sports,United Kingdom
INV002454,CUST0117,2023-01-27 13:58:00,6,147.27,883.62,Clothing,United Kingdom
INV002084,CUST0154,2023-01-27 14:06:00,2,42.61,85.22,Clothing,United Kingdom
INV000394,CUST0167,2023-01-27 14:49:00,1,61.1,61.1,Clothing,Germany
INV002859,CUST0093,2023-01-27 16:49:00,4,161.16,644.64,Beauty,United Kingdom
INV001734,CUST0081,2023-01-28 07:15:00,6,137.43,824.58,Electronics,United Kingdom
INV002572,CUST0154,2023-01-28 09:26:00,3,88.45,265.35,Beauty,France
INV001965,CUST0017,2023-01-28 11:13:00,3,79.05,237.15,Clothing,United Kingdom
INV002684,CUST0209,2023-01-29 04:21:00,1,55.14,55.14,Home & Kitchen,Germany
INV001629,CUST0184,2023-01-29 21:58:00,5,118.81,594.05,Sports,Germany
INV000176,CUST0218,2023-01-29 23:17:00,5,75.0,375.0,Electronics,United Kingdom
INV000115,CUST0120,2023-01-30 03:12:00,2,47.22,94.44,Clothing,Germany
INV000921,CUST0035,2023-01-30 09:07:00,4,329.0,1316.0,Beauty,United Kingdom
INV001272,CUST0085,2023-01-30 18:07:00,3,76.36,229.08,Electronics,Germany
INV000308,CUST0140,2023-01-30 19:37:00,11,262.07,2882.77,Electronics,Germany
INV002202,CUST0041,2023-01-31 06:12:00,3,56.98,170.94,Sports,Spain
INV002276,CUST0148,2023-01-31 07:23:00,2,46.47,92.94,Home & Kitchen,United Kingdom
INV001908,CUST0208,2023-02-01 00:07:00,10,81.36,813.6,Clothing,United Kingdom
INV002452,CUST0198,2023-02-01 02:40:00,6,109.08,654.48,Beauty,France
INV001551,CUST0210,2023-02-01 07:55:00,1,47.45,47.45,Home & Kitchen,Netherlands
INV000541,CUST0240,2023-02-01 09:42:00,1,33.05,33.05,Electronics,Germany
INV001087,CUST0041,2023-02-01 15:50:00,1,56.08,56.08,Beauty,United Kingdom
INV002739,CUST0032,2023-02-02 02:27:00,1,52.49,52.49,Electronics,France
INV001368,CUST0098,2023-02-02 03:58:00,1,59.17,59.17,Clothing,Germany
INV001221,CUST0087,2023-02-02 08:48:00,4,151.0,604.0,Beauty,Germany
INV000342,CUST0167,2023-02-02 09:36:00,3,52.92,158.76,Electronics,Netherlands
INV000174,CUST0204,2023-02-02 17:47:00,6,96.97,581.82,Beauty,United Kingdom
INV001103,CUST0182,2023-02-03 17:01:00,1,30.62,30.62,Sports,Germany
INV000370,CUST0194,2023-02-04 00:35:00,1,72.37,72.37,Clothing,France
INV000349,CUST0221,2023-02-04 05:11:00,3,101.38,304.14,Clothing,Germany
INV001777,CUST0045,2023-02-04 05:53:00,2,45.32,90.64,Sports,Netherlands
INV002207,CUST0111,2023-02-04 14:44:00,3,66.04,198.12,Electronics,France
INV001216,CUST0211,2023-02-05 14:18:00,2,70.38,140.76,Clothing,Netherlands
INV002948,CUST0082,2023-02-05 20:39:00,2,63.3,126.6,Clothing,United Kingdom
INV000782,CUST0034,2023-02-06 06:32:00,6,403.3,2419.8,Beauty,Germany
INV002496,CUST0034,2023-02-06 10:55:00,5,268.55,1342.75,Home & Kitchen,Spain
INV000880,CUST0134,2023-02-06 11:57:00,5,81.84,409.2,Electronics,United Kingdom
INV001090,CUST0151,2023-02-06 13:36:00,13,392.05,5096.65,Electronics,Spain
INV000954,CUST0104,2023-02-06 16:21:00,4,74.87,299.48,Clothing,United Kingdom
INV002755,CUST0085,2023-02-06 18:24:00,1,84.82,84.82,Clothing,United Kingdom
INV002877,CUST0056,2023-02-06 18:34:00,2,238.93,477.86,Electronics,Spain
INV002277,CUST0114,2023-02-06 18:50:00,2,166.84,333.68,Home & Kitchen,Spain
INV001893,CUST0175,2023-02-07 05:49:00,2,60.99,121.98,Beauty,United Kingdom
INV000615,CUST0079,2023-02-07 07:53:00,3,102.1,306.3,Home & Kitchen,United Kingdom
INV001156,CUST0049,2023-02-07 09:56:00,4,96.54,386.16,Home & Kitchen,Germany
INV002839,CUST0025,2023-02-07 21:01:00,1,87.92,87.92,Home & Kitchen,France
INV002214,CUST0231,2023-02-08 01:50:00,7,61.25,428.75,Electronics,Germany
INV001376,CUST0145,2023-02-08 10:42:00,2,66.86,133.72,Sports,United Kingdom
INV002123,CUST0056,2023-02-08 10:47:00,6,256.14,1536.84,Home & Kitchen,United Kingdom
INV001122,CUST0025,2023-02-08 19:31:00,1,86.42,86.42,Clothing,United Kingdom
INV000773,CUST0138,2023-02-08 21:25:00,6,143.19,859.14,Beauty,Germany
INV000216,CUST0140,2023-02-09 12:58:00,7,123.23,862.61,Clothing,Netherlands
INV001574,CUST0244,2023-02-09 15:11:00,3,63.31,189.93,Sports,United Kingdom
INV000210,CUST0220,2023-02-09 22:03:00,5,127.61,638.05,Electronics,Germany
INV002264,CUST0165,2023-02-10 21:23:00,1,48.25,48.25,Home & Kitchen,Netherlands
INV002569,CUST0152,2023-02-11 04:42:00,1,68.36,68.36,Beauty,United Kingdom
INV002995,CUST0058,2023-02-11 06:01:00,3,42.8,128.4,Electronics,France
INV000473,CUST0008,2023-02-11 08:12:00,3,113.69,341.07,Electronics,United Kingdom
INV001446,CUST0229,2023-02-11 08:39:00,6,204.55,1227.3,Clothing,Spain
INV000372,CUST0029,2023-02-11 18:32:00,4,69.68,278.72,Home & Kitchen,United Kingdom
INV000002,CUST0213,2023-02-12 00:44:00,4,110.07,440.28,Electronics,United Kingdom
INV001458,CUST0049,2023-02-12 17:02:00,2,53.78,107.56,Sports,United Kingdom
INV001160,CUST0105,2023-02-12 17:39:00,13,285.88,3716.44,Electronics,United Kingdom
INV002078,CUST0084,2023-02-12 17:49:00,1,55.58,55.58,Beauty,United Kingdom
INV000168,CUST0241,2023-02-12 19:34:00,6,190.38,1142.28,Home & Kitchen,France
INV000042,CUST0050,2023-02-13 00:41:00,1,50.13,50.13,Beauty,United Kingdom
INV001841,CUST0012,2023-02-13 01:34:00,8,160.52,1284.16,Electronics,Netherlands
INV002805,CUST0130,2023-02-13 11:43:00,3,112.38,337.14,Electronics,United Kingdom
INV000901,CUST0152,2023-02-13 13:32:00,1,22.47,22.47,Home & Kitchen,United Kingdom
INV001518,CUST0116,2023-02-13 13:37:00,6,193.1,1158.6,Clothing,Germany
INV000127,CUST0127,2023-02-13 14:52:00,4,121.47,485.88,Electronics,Germany
INV002227,CUST0204,2023-02-14 20:27:00,6,120.46,722.76,Clothing,United Kingdom
INV001934,CUST0027,2023-02-14 21:20:00,1,53.74,53.74,Electronics,United Kingdom
INV001762,CUST0169,2023-02-15 00:37:00,2,54.5,109.0,Beauty,France
INV002250,CUST0171,2023-02-15 07:42:00,6,139.03,834.18,Home & Kitchen,United Kingdom
INV002231,CUST0151,2023-02-15 11:52:00,12,287.93,3455.16,Home & Kitchen,United Kingdom
INV001134,CUST0171,2023-02-16 03:30:00,6,174.07,1044.42,Home & Kitchen,United Kingdom
INV001835,CUST0228,2023-02-16 06:43:00,2,102.81,205.62,Clothing,United Kingdom
INV001485,CUST0143,2023-02-16 19:23:00,3,52.34,157.02,Clothing,United Kingdom
INV001910,CUST0187,2023-02-17 01:10:00,5,117.63,588.15,Sports,United Kingdom
INV000212,CUST0160,2023-02-17 03:07:00,2,79.04,158.08,Electronics,United Kingdom
INV001151,CUST0150,2023-02-18 13:13:00,2,62.28,124.56,Beauty,Netherlands
INV000507,CUST0047,2023-02-18 19:32:00,3,69.99,209.97,Clothing,Spain
INV000025,CUST0155,2023-02-19 02:12:00,13,187.74,2440.62,Clothing,United Kingdom
INV002197,CUST0119,2023-02-19 03:09:00,3,172.25,516.75,Beauty,Netherlands
INV001153,CUST0156,2023-02-19 13:05:00,3,33.12,99.36,Home & Kitchen,United Kingdom
INV001080,CUST0122,2023-02-19 19:40:00,2,103.57,207.14,Beauty,Germany
INV000393,CUST0182,2023-02-19 21:13:00,1,34.46,34.46,Home & Kitchen,United Kingdom
INV002068,CUST0072,2023-02-20 05:19:00,1,67.4,67.4,Electronics,Germany
INV002973,CUST0180,2023-02-20 05:45:00,1,34.38,34.38,Electronics,Spain
INV002770,CUST0006,2023-02-20 14:32:00,1,30.78,30.78,Home & Kitchen,France
INV000830,CUST0223,2023-02-20 16:35:00,2,49.87,99.74,Electronics,Spain
INV002984,CUST0120,2023-02-20 20:30:00,2,82.9,165.8,Electronics,Spain
INV002674,CUST0125,2023-02-21 01:44:00,1,39.73,39.73,Beauty,United Kingdom
INV001737,CUST0045,2023-02-21 06:47:00,2,56.78,113.56,Electronics,Spain
INV001515,CUST0082,2023-02-21 14:03:00,1,66.39,66.39,Beauty,United Kingdom
INV002261,CUST0175,2023-02-21 16:35:00,2,74.67,149.34,Clothing,Germany
INV002853,CUST0146,2023-02-22 08:38:00,2,44.02,88.04,Beauty,United Kingdom
INV000348,CUST0215,2023-02-22 09:58:00,4,106.04,424.16,Clothing,United Kingdom
INV002356,CUST0047,2023-02-22 12:27:00,1,40.04,40.04,Sports,United Kingdom
INV002601,CUST0150,2023-02-22 15:36:00,2,61.49,122.98,Electronics,United Kingdom
INV002351,CUST0114,2023-02-23 06:41:00,6,8.61,51.66,Beauty,Netherlands
INV000332,CUST0228,2023-02-23 18:32:00,2,39.53,79.06,Beauty,United Kingdom
INV001856,CUST0204,2023-02-23 22:55:00,5,65.79,328.95,Electronics,Germany
INV002176,CUST0125,2023-02-24 07:51:00,3,50.99,152.97,Electronics,Germany
INV002845,CUST0032,2023-02-24 11:18:00,1,59.28,59.28,Beauty,United Kingdom
INV001832,CUST0196,2023-02-24 14:08:00,4,80.15,320.6,Clothing,United Kingdom
INV000480,CUST0060,2023-02-24 19:51:00,4,37.0,148.0,Sports,Spain
INV000791,CUST0101,2023-02-25 01:45:00,1,37.87,37.87,Beauty,United Kingdom
INV002091,CUST0014,2023-02-25 11:30:00,1,62.64,62.64,Home & Kitchen,Netherlands
INV000269,CUST0101,2023-02-25 12:37:00,1,29.74,29.74,Home & Kitchen,Germany
INV000419,CUST0190,2023-02-25 15:40:00,1,58.22,58.22,Electronics,Germany
INV001647,CUST0117,2023-02-25 22:11:00,4,88.12,352.48,Clothing,Spain
INV002187,CUST0008,2023-02-25 23:15:00,5,114.69,573.45,Beauty,France
INV002810,CUST0210,2023-02-26 05:51:00,1,34.45,34.45,Beauty,France
INV002738,CUST0231,2023-02-26 10:22:00,4,150.05,600.2,Home & Kitchen,United Kingdom
INV001032,CUST0155,2023-02-26 10:53:00,14,199.53,2793.42,Clothing,United Kingdom
INV001917,CUST0001,2023-02-26 16:30:00,3,72.45,217.35,Sports,Netherlands
INV000414,CUST0167,2023-02-27 05:18:00,4,80.79,323.16,Beauty,United Kingdom
INV000152,CUST0022,2023-02-27 12:19:00,1,19.13,19.13,Beauty,Germany
INV000367,CUST0178,2023-02-27 17:40:00,1,50.5,50.5,Clothing,Netherlands
INV000947,CUST0237,2023-02-27 18:43:00,4,5.0,20.0,Beauty,United Kingdom
INV000466,CUST0016,2023-02-28 08:03:00,1,47.8,47.8,Beauty,France
INV002318,CUST0038,2023-02-28 14:28:00,2,55.99,111.98,Sports,United Kingdom
INV000591,CUST0133,2023-02-28 18:10:00,1,54.26,54.26,Clothing,United Kingdom
INV000703,CUST0047,2023-02-28 20:48:00,2,76.31,152.62,Home & Kitchen,United Kingdom
INV001077,CUST0241,2023-02-28 22:08:00,15,255.82,3837.3,Sports,United Kingdom
INV000742,CUST0151,2023-03-01 12:00:00,7,165.5,1158.5,Beauty,United Kingdom
INV002201,CUST0237,2023-03-02 03:00:00,1,46.85,46.85,Sports,United Kingdom
INV001680,CUST0145,2023-03-02 18:37:00,2,83.19,166.38,Sports,United Kingdom
INV002155,CUST0050,2023-03-02 20:34:00,2,54.16,108.32,Beauty,France
INV000845,CUST0062,2023-03-03 04:46:00,2,60.93,121.86,Beauty,France
INV001058,CUST0190,2023-03-03 05:25:00,3,59.28,177.84,Electronics,United Kingdom
INV001793,CUST0002,2023-03-03 08:14:00,6,287.77,1726.62,Home & Kitchen,United Kingdom
INV000626,CUST0030,2023-03-03 12:38:00,3,57.17,171.51,Beauty,France
INV000775,CUST0233,2023-03-03 19:41:00,1,75.33,75.33,Sports,United Kingdom
INV001558,CUST0194,2023-03-04 08:52:00,3,74.05,222.15,Home & Kitchen,France
INV000603,CUST0066,2023-03-04 14:25:00,4,73.18,292.72,Clothing,United Kingdom
INV002071,CUST0062,2023-03-04 15:05:00,1,48.29,48.29,Electronics,France
INV001093,CUST0101,2023-03-04 15:22:00,1,54.74,54.74,Beauty,France
INV002557,CUST0220,2023-03-05 05:20:00,6,139.45,836.7,Home & Kitchen,Germany
INV002851,CUST0078,2023-03-05 17:27:00,1,53.11,53.11,Beauty,Spain
INV000511,CUST0056,2023-03-05 19:10:00,12,129.35,1552.2,Electronics,United Kingdom
INV001663,CUST0005,2023-03-06 04:02:00,3,36.5,109.5,Home & Kitchen,Spain
INV000183,CUST0222,2023-03-06 18:25:00,4,91.37,365.48,Beauty,Netherlands
INV000408,CUST0148,2023-03-06 21:48:00,1,59.14,59.14,Sports,France
INV002832,CUST0141,2023-03-06 21:55:00,10,134.25,1342.5,Sports,United Kingdom
INV000241,CUST0242,2023-03-06 22:30:00,2,227.68,455.36,Clothing,United Kingdom
INV001560,CUST0227,2023-03-07 01:26:00,4,189.99,759.96,Home & Kitchen,United Kingdom
INV000585,CUST0123,2023-03-07 08:27:00,2,103.23,206.46,Home & Kitchen,France
INV001367,CUST0168,2023-03-07 11:26:00,1,48.46,48.46,Clothing,Germany
INV001788,CUST0158,2023-03-07 15:38:00,4,92.31,369.24,Beauty,Spain
INV002691,CUST0150,2023-03-07 20:50:00,4,100.44,401.76,Home & Kitchen,United Kingdom
INV000706,CUST0239,2023-03-07 21:19:00,4,73.04,292.16,Beauty,United Kingdom
INV001105,CUST0115,2023-03-07 23:37:00,4,57.32,229.28,Sports,United Kingdom
INV002542,CUST0007,2023-03-08 13:18:00,4,45.19,180.76,Clothing,France
INV000722,CUST0047,2023-03-08 17:42:00,5,79.64,398.2,Beauty,United Kingdom
INV002939,CUST0133,2023-03-09 02:44:00,1,51.88,51.88,Sports,Germany
INV000062,CUST0092,2023-03-09 07:01:00,3,139.02,417.06,Electronics,Spain
INV000429,CUST0058,2023-03-09 10:01:00,1,33.6,33.6,Beauty,United Kingdom
INV001248,CUST0035,2023-03-09 13:15:00,5,290.04,1450.2,Clothing,United Kingdom
INV000226,CUST0012,2023-03-09 18:42:00,4,261.56,1046.24,Electronics,United Kingdom
INV000763,CUST0086,2023-03-09 20:51:00,3,75.72,227.16,Beauty,Netherlands
INV001755,CUST0080,2023-03-09 22:20:00,2,38.24,76.48,Sports,Germany
INV002323,CUST0045,2023-03-09 22:52:00,5,119.87,599.35,Beauty,Germany
INV001732,CUST0197,2023-03-10 05:50:00,6,148.16,888.96,Clothing,Germany
INV002047,CUST0226,2023-03-10 06:21:00,1,45.84,45.84,Clothing,Netherlands
INV002983,CUST0017,2023-03-10 17:26:00,2,86.98,173.96,Electronics,United Kingdom
INV001198,CUST0246,2023-03-10 18:38:00,8,182.35,1458.8,Electronics,United Kingdom
INV002742,CUST0016,2023-03-11 10:05:00,1,42.8,42.8,Clothing,Germany
INV000267,CUST0164,2023-03-11 16:42:00,2,41.27,82.54,Sports,Netherlands
INV002145,CUST0024,2023-03-11 20:35:00,4,94.81,379.24,Electronics,United Kingdom
INV001604,CUST0146,2023-03-12 04:57:00,1,50.14,50.14,Clothing,United Kingdom
INV001089,CUST0011,2023-03-12 08:21:00,2,46.46,92.92,Clothing,United Kingdom
INV000937,CUST0213,2023-03-12 13:27:00,10,121.68,1216.8,Beauty,United Kingdom
INV001222,CUST0055,2023-03-12 18:23:00,1,80.06,80.06,Beauty,United Kingdom
INV002576,CUST0050,2023-03-12 20:47:00,2,39.28,78.56,Clothing,United Kingdom
INV000405,CUST0220,2023-03-12 23:17:00,5,112.35,561.75,Clothing,Germany
INV000677,CUST0051,2023-03-12 23:22:00,9,100.17,901.53,Electronics,United Kingdom
INV001761,CUST0048,2023-03-13 00:24:00,4,83.56,334.24,Electronics,United Kingdom
INV002305,CUST0226,2023-03-13 05:27:00,3,59.04,177.12,Electronics,Spain
INV001154,CUST0114,2023-03-13 13:30:00,9,138.42,1245.78,Electronics,United Kingdom
INV001476,CUST0229,2023-03-13 16:52:00,8,95.36,762.88,Clothing,Germany
INV002868,CUST0211,2023-03-13 18:25:00,4,43.83,175.32,Electronics,Germany
INV002974,CUST0157,2023-03-13 21:03:00,5,101.27,506.35,Beauty,United Kingdom
INV002694,CUST0036,2023-03-14 02:37:00,5,171.25,856.25,Electronics,United Kingdom
INV001064,CUST0060,2023-03-14 09:35:00,6,59.4,356.4,Electronics,Netherlands
INV000537,CUST0105,2023-03-14 13:48:00,8,231.09,1848.72,Beauty,France
INV002524,CUST0095,2023-03-14 16:12:00,4,156.33,625.32,Clothing,Germany
INV001645,CUST0063,2023-03-14 18:14:00,2,128.38,256.76,Sports,France
