Date,Gender,Age,Product,Product Category,Quantity,Price per Unit,Total Amount
2023-07-04,Male,29,Laptop,Electronics,5,502.47,2512.35
2023-07-05,Male,56,Football,Sports,3,124.96,374.88
2023-07-06,Female,19,Jeans,Clothing,3,192.37,577.11
2023-07-07,Female,49,Dress,Clothing,4,119.16,476.64
2023-07-07,Female,30,Smartwatch,Electronics,3,196.3,588.9
2023-07-08,Female,63,Dress,Clothing,1,85.04,85.04
2023-07-09,Male,44,Coffee Maker,Home & Kitchen,5,226.73,1133.65
2023-07-09,Female,58,Tennis Racket,Sports,1,116.53,116.53
2023-07-10,Female,34,Jacket,Clothing,5,96.41,482.05
2023-07-11,Male,57,Jeans,Clothing,4,87.57,350.28
2023-07-12,Female,48,Coffee Maker,Home & Kitchen,3,49.5,148.5
2023-07-12,Female,51,Football,Sports,3,230.24,690.72
2023-07-13,Female,41,Skincare Set,Beauty,3,111.54,334.62
2023-07-14,Female,62,T-Shirt,Clothing,5,170.28,851.4
2023-07-15,Female,52,Jeans,Clothing,3,64.23,192.69
2023-07-15,Male,65,Skincare Set,Beauty,1,60.26,60.26
2023-07-16,Male,23,Tablet,Electronics,3,781.58,2344.74
2023-07-17,Female,36,Shampoo,Beauty,4,111.94,447.76
2023-07-18,Female,47,Shoes,Clothing,1,136.46,136.46
2023-07-18,Female,24,Cookware Set,Home & Kitchen,3,194.69,584.07
2023-07-19,Female,27,Headphones,Electronics,3,1104.22,3312.66
2023-07-20,Female,58,Lipstick,Beauty,2,67.76,135.52
2023-07-20,Female,49,T-Shirt,Clothing,5,124.79,623.95
2023-07-21,Female,51,Perfume,Beauty,1,125.28,125.28
2023-07-22,Female,45,Tablet,Electronics,2,697.32,1394.64
2023-07-23,Female,32,Skincare Set,Beauty,4,68.97,275.88
2023-07-23,Female,47,Perfume,Beauty,5,84.06,420.3
2023-07-24,Female,54,Perfume,Beauty,1,145.06,145.06
2023-07-25,Male,46,Skincare Set,Beauty,3,57.28,171.84
2023-07-26,Male,39,Face Cream,Beauty,1,34.18,34.18
2023-07-26,Male,21,Blender,Home & Kitchen,3,177.19,531.57
2023-07-27,Female,37,Dress,Clothing,5,215.39,1076.95
2023-07-28,Male,49,Coffee Maker,Home & Kitchen,3,71.83,215.49
2023-07-28,Male,53,Dress,Clothing,4,248.09,992.36
2023-07-29,Female,21,Headphones,Electronics,3,695.1,2085.3
2023-07-30,Male,44,Headphones,Electronics,4,1183.33,4733.32
2023-07-31,Female,34,Dress,Clothing,5,235.97,1179.85
2023-07-31,Male,29,Lamp,Home & Kitchen,5,242.82,1214.1
2023-08-01,Male,39,Coffee Maker,Home & Kitchen,1,123.29,123.29
2023-08-02,Female,34,Cookware Set,Home & Kitchen,4,107.5,430.0
2023-08-03,Male,27,Lipstick,Beauty,4,50.8,203.2
2023-08-03,Male,18,Jacket,Clothing,2,183.33,366.66
2023-08-04,Female,39,Tablet,Electronics,2,400.24,800.48
2023-08-05,Female,43,Shoes,Clothing,2,98.53,197.06
2023-08-06,Male,35,Jeans,Clothing,3,123.22,369.66
2023-08-06,Female,31,Tablet,Electronics,2,1104.56,2209.12
2023-08-07,Male,64,Dress,Clothing,4,63.56,254.24
2023-08-08,Male,46,Shampoo,Beauty,3,10.85,32.55
2023-08-08,Female,29,Cookware Set,Home & Kitchen,5,58.25,291.25
2023-08-09,Female,53,Dumbbells,Sports,1,318.57,318.57
2023-08-10,Female,52,Yoga Mat,Sports,2,233.68,467.36
2023-08-11,Female,29,Shampoo,Beauty,5,56.42,282.1
2023-08-11,Female,24,Dress,Clothing,4,60.75,243.0
2023-08-12,Female,46,Face Cream,Beauty,1,60.03,60.03
2023-08-13,Male,28,Blender,Home & Kitchen,5,83.95,419.75
2023-08-14,Female,50,Headphones,Electronics,1,1135.69,1135.69
2023-08-14,Male,23,Shoes,Clothing,2,200.37,400.74
2023-08-15,Male,64,Blender,Home & Kitchen,4,247.32,989.28
2023-08-16,Male,32,Jacket,Clothing,1,218.94,218.94
2023-08-16,Male,49,Shampoo,Beauty,5,52.41,262.05
2023-08-17,Female,28,Skincare Set,Beauty,2,131.91,263.82
2023-08-18,Female,40,Headphones,Electronics,2,1041.75,2083.5
2023-08-19,Female,43,Dress,Clothing,5,102.06,510.3
2023-08-19,Male,51,T-Shirt,Clothing,5,194.22,971.1
2023-08-20,Male,63,Headphones,Electronics,1,424.58,424.58
2023-08-21,Male,51,Headphones,Electronics,3,428.74,1286.22
2023-08-22,Male,46,Vacuum Cleaner,Home & Kitchen,2,80.32,160.64
2023-08-22,Female,21,Shoes,Clothing,1,121.21,121.21
2023-08-23,Female,34,Skincare Set,Beauty,5,134.05,670.25
2023-08-24,Female,52,Dress,Clothing,1,236.25,236.25
2023-08-25,Male,30,Yoga Mat,Sports,5,219.25,1096.25
2023-08-25,Female,58,Shoes,Clothing,4,218.52,874.08
2023-08-26,Female,56,Jacket,Clothing,5,209.17,1045.85
2023-08-27,Female,32,Cookware Set,Home & Kitchen,5,111.47,557.35
2023-08-27,Female,46,Blender,Home & Kitchen,5,258.33,1291.65
2023-08-28,Male,46,Smartphone,Electronics,3,228.62,685.86
2023-08-29,Male,28,Vacuum Cleaner,Home & Kitchen,5,350.61,1753.05
2023-08-30,Male,49,Shoes,Clothing,2,238.48,476.96
2023-08-30,Female,19,Dress,Clothing,2,51.53,103.06
2023-08-31,Male,64,Tablet,Electronics,1,907.27,907.27
2023-09-01,Male,31,Tablet,Electronics,3,795.46,2386.38
2023-09-02,Male,37,Blender,Home & Kitchen,1,304.29,304.29
2023-09-02,Male,39,T-Shirt,Clothing,2,109.73,219.46
2023-09-03,Female,28,Dress,Clothing,2,101.68,203.36
2023-09-04,Female,44,Blender,Home & Kitchen,4,51.27,205.08
2023-09-04,Male,20,Coffee Maker,Home & Kitchen,5,132.42,662.1
2023-09-05,Male,34,Tablet,Electronics,2,116.69,233.38
2023-09-06,Female,61,Perfume,Beauty,1,108.84,108.84
2023-09-07,Male,45,Laptop,Electronics,1,216.44,216.44
2023-09-07,Male,46,Vacuum Cleaner,Home & Kitchen,5,440.32,2201.6
2023-09-08,Male,38,Face Cream,Beauty,5,98.93,494.65
2023-09-09,Male,64,Dumbbells,Sports,4,250.9,1003.6
2023-09-10,Female,33,Headphones,Electronics,3,551.94,1655.82
2023-09-10,Female,54,Headphones,Electronics,1,716.64,716.64
2023-09-11,Male,37,Shoes,Clothing,5,236.81,1184.05
2023-09-12,Male,23,Shoes,Clothing,1,39.03,39.03
2023-09-13,Female,36,Shoes,Clothing,5,78.41,392.05
2023-09-13,Female,22,Running Shoes,Sports,2,277.4,554.8
2023-09-14,Female,20,Shoes,Clothing,1,42.71,42.71
2023-09-15,Female,18,T-Shirt,Clothing,2,37.4,74.8
2023-09-15,Male,55,Vacuum Cleaner,Home & Kitchen,1,199.92,199.92
2023-09-16,Male,32,Dress,Clothing,3,41.2,123.6
2023-09-17,Female,51,Cookware Set,Home & Kitchen,4,304.99,1219.96
2023-09-18,Male,52,Laptop,Electronics,2,348.9,697.8
2023-09-18,Female,42,Dress,Clothing,5,226.01,1130.05
2023-09-19,Female,41,Smartphone,Electronics,3,961.85,2885.55
2023-09-20,Female,29,Headphones,Electronics,1,869.68,869.68
2023-09-21,Male,35,Running Shoes,Sports,2,223.59,447.18
2023-09-21,Female,32,Smartphone,Electronics,1,1049.81,1049.81
2023-09-22,Male,61,Lipstick,Beauty,1,47.92,47.92
2023-09-23,Female,33,Shoes,Clothing,1,220.82,220.82
2023-09-23,Female,44,Dress,Clothing,4,201.58,806.32
2023-09-24,Male,25,Tennis Racket,Sports,4,266.89,1067.56
2023-09-25,Female,63,Smartphone,Electronics,5,717.38,3586.9
2023-09-26,Female,42,Lipstick,Beauty,2,51.86,103.72
2023-09-26,Male,34,Yoga Mat,Sports,3,159.77,479.31
2023-09-27,Male,46,Skincare Set,Beauty,3,144.91,434.73
2023-09-28,Male,25,Running Shoes,Sports,3,30.49,91.47
2023-09-29,Male,32,Laptop,Electronics,1,960.26,960.26
2023-09-29,Male,44,T-Shirt,Clothing,4,75.22,300.88
2023-09-30,Female,63,T-Shirt,Clothing,2,53.19,106.38
2023-10-01,Male,24,Lamp,Home & Kitchen,1,84.38,84.38
2023-10-02,Male,20,Yoga Mat,Sports,4,28.99,115.96
2023-10-02,Female,46,T-Shirt,Clothing,4,140.42,561.68
2023-10-03,Male,61,Perfume,Beauty,2,47.1,94.2
2023-10-04,Female,41,Smartwatch,Electronics,2,1188.37,2376.74
2023-10-04,Male,20,Shampoo,Beauty,2,107.65,215.3
2023-10-05,Male,37,T-Shirt,Clothing,1,51.71,51.71
2023-10-06,Female,63,Running Shoes,Sports,5,247.29,1236.45
2023-10-07,Female,32,Face Cream,Beauty,2,162.62,325.24
2023-10-07,Female,42,Dress,Clothing,5,191.39,956.95
2023-10-08,Female,47,Smartphone,Electronics,1,184.08,184.08
2023-10-09,Female,31,Smartphone,Electronics,5,1085.47,5427.35
2023-10-10,Male,24,T-Shirt,Clothing,3,202.6,607.8
2023-10-10,Male,34,Jacket,Clothing,5,56.41,282.05
2023-10-11,Female,61,Coffee Maker,Home & Kitchen,2,54.34,108.68
2023-10-12,Female,37,Perfume,Beauty,1,104.74,104.74
2023-10-12,Female,53,Perfume,Beauty,2,36.53,73.06
2023-10-13,Male,26,Laptop,Electronics,3,1018.05,3054.15
2023-10-14,Male,55,Lamp,Home & Kitchen,2,198.42,396.84
2023-10-15,Female,65,Blender,Home & Kitchen,2,459.06,918.12
2023-10-15,Male,39,Laptop,Electronics,2,722.26,1444.52
2023-10-16,Female,19,Vacuum Cleaner,Home & Kitchen,4,115.86,463.44
2023-10-17,Female,41,Perfume,Beauty,3,33.73,101.19
2023-10-18,Male,25,Smartphone,Electronics,2,734.12,1468.24
2023-10-18,Female,28,Jeans,Clothing,2,195.23,390.46
2023-10-19,Female,30,Jacket,Clothing,2,199.75,399.5
2023-10-20,Male,34,Smartphone,Electronics,1,403.33,403.33
2023-10-21,Female,25,Tennis Racket,Sports,4,87.4,349.6
2023-10-21,Female,38,Blender,Home & Kitchen,1,37.88,37.88
2023-10-22,Female,35,Face Cream,Beauty,4,125.46,501.84
2023-10-23,Male,47,Shoes,Clothing,2,37.61,75.22
2023-10-23,Female,35,Shoes,Clothing,3,116.78,350.34
2023-10-24,Male,63,Face Cream,Beauty,5,112.29,561.45
2023-10-25,Male,64,Lipstick,Beauty,5,169.31,846.55
2023-10-26,Female,48,Smartphone,Electronics,2,442.98,885.96
2023-10-26,Male,55,Perfume,Beauty,1,52.46,52.46
2023-10-27,Male,49,Coffee Maker,Home & Kitchen,3,337.46,1012.38
